task,subject,session,echo,datatype,filename
hand,sub-08,ses-02,3,bold.nii.gz,sub-08_ses-02_task-hand_echo-3_bold.nii.gz
hand,sub-12,ses-02,5,sbref.json,sub-12_ses-02_task-hand_echo-5_sbref.json
hand,sub-03,ses-02,3,phasediff.nii.gz,sub-03_ses-02_task-hand_echo-3_phasediff.nii.gz
hand,sub-14,ses-04,3,sbref.json,sub-14_ses-04_task-hand_echo-3_sbref.json
hand,sub-19,ses-01,2,phasediff.json,sub-19_ses-01_task-hand_echo-2_phasediff.json
hand,sub-21,ses-04,5,sbref.json,sub-21_ses-04_task-hand_echo-5_sbref.json
hand,sub-02,ses-01,5,bold.nii.gz,sub-02_ses-01_task-hand_echo-5_bold.nii.gz
hand,sub-26,ses-04,4,phasediff.nii,sub-26_ses-04_task-hand_echo-4_phasediff.nii
hand,sub-24,ses-03,2,phasediff.json,sub-24_ses-03_task-hand_echo-2_phasediff.json
hand,sub-02,ses-01,2,sbref.json,sub-02_ses-01_task-hand_echo-2_sbref.json
hand,sub-18,ses-03,1,bold.nii.gz,sub-18_ses-03_task-hand_echo-1_bold.nii.gz
hand,sub-25,ses-02,4,phasediff.json,sub-25_ses-02_task-hand_echo-4_phasediff.json
hand,sub-09,ses-03,3,sbref.json,sub-09_ses-03_task-hand_echo-3_sbref.json
hand,sub-26,ses-04,2,sbref.json,sub-26_ses-04_task-hand_echo-2_sbref.json
hand,sub-17,ses-04,4,bold.json,sub-17_ses-04_task-hand_echo-4_bold.json
hand,sub-20,ses-01,3,bold.nii.gz,sub-20_ses-01_task-hand_echo-3_bold.nii.gz
hand,sub-07,ses-04,4,phasediff.nii.gz,sub-07_ses-04_task-hand_echo-4_phasediff.nii.gz
hand,sub-20,ses-02,4,sbref.json,sub-20_ses-02_task-hand_echo-4_sbref.json
hand,sub-13,ses-04,4,sbref.json,sub-13_ses-04_task-hand_echo-4_sbref.json
hand,sub-05,ses-01,5,sbref.json,sub-05_ses-01_task-hand_echo-5_sbref.json
hand,sub-03,ses-01,1,bold.nii.gz,sub-03_ses-01_task-hand_echo-1_bold.nii.gz
hand,sub-18,ses-03,3,phasediff.nii.gz,sub-18_ses-03_task-hand_echo-3_phasediff.nii.gz
hand,sub-10,ses-01,5,bold.json,sub-10_ses-01_task-hand_echo-5_bold.json
hand,sub-19,ses-03,5,bold.nii.gz,sub-19_ses-03_task-hand_echo-5_bold.nii.gz
hand,sub-22,ses-04,4,bold.nii.gz,sub-22_ses-04_task-hand_echo-4_bold.nii.gz
hand,sub-20,ses-03,5,phasediff.nii.gz,sub-20_ses-03_task-hand_echo-5_phasediff.nii.gz
hand,sub-17,ses-02,3,phasediff.nii.gz,sub-17_ses-02_task-hand_echo-3_phasediff.nii.gz
hand,sub-07,ses-04,5,bold.json,sub-07_ses-04_task-hand_echo-5_bold.json
hand,sub-05,ses-03,4,sbref.json,sub-05_ses-03_task-hand_echo-4_sbref.json
hand,sub-05,ses-03,5,bold.json,sub-05_ses-03_task-hand_echo-5_bold.json
hand,sub-09,ses-01,2,sbref.json,sub-09_ses-01_task-hand_echo-2_sbref.json
hand,sub-25,ses-02,2,phasediff.nii.gz,sub-25_ses-02_task-hand_echo-2_phasediff.nii.gz
hand,sub-13,ses-04,1,phasediff.json,sub-13_ses-04_task-hand_echo-1_phasediff.json
hand,sub-13,ses-02,3,phasediff.json,sub-13_ses-02_task-hand_echo-3_phasediff.json
hand,sub-04,ses-03,4,bold.json,sub-04_ses-03_task-hand_echo-4_bold.json
hand,sub-10,ses-01,3,phasediff.nii.gz,sub-10_ses-01_task-hand_echo-3_phasediff.nii.gz
hand,sub-02,ses-03,3,sbref.json,sub-02_ses-03_task-hand_echo-3_sbref.json
