Subject,Session,X,Y,Z,Volumes,Voxel X,Voxel Y,Voxel Z,TR,Echo Time,Echo Number,Flip Angle,Slice Thickness,Phase Encoding,Manufacturer,Scanner Model,Magnetic Field,BOLD Path,JSON Path,Status
sub-13,ses-04,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-13/ses-04/sub-13_ses-04_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-13/ses-04/sub-13_ses-04_task-hand_echo-1_bold.json,Ready
sub-14,ses-03,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-14/ses-03/sub-14_ses-03_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-14/ses-03/sub-14_ses-03_task-hand_echo-1_bold.json,Ready
sub-22,ses-02,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-22/ses-02/sub-22_ses-02_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-22/ses-02/sub-22_ses-02_task-hand_echo-1_bold.json,Ready
sub-25,ses-02,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-25/ses-02/sub-25_ses-02_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-25/ses-02/sub-25_ses-02_task-hand_echo-1_bold.json,Ready
sub-25,ses-04,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-25/ses-04/sub-25_ses-04_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-25/ses-04/sub-25_ses-04_task-hand_echo-1_bold.json,Ready
sub-24,ses-04,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-24/ses-04/sub-24_ses-04_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-24/ses-04/sub-24_ses-04_task-hand_echo-1_bold.json,Ready
sub-24,ses-03,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-24/ses-03/sub-24_ses-03_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-24/ses-03/sub-24_ses-03_task-hand_echo-1_bold.json,Ready
sub-23,ses-03,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-23/ses-03/sub-23_ses-03_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-23/ses-03/sub-23_ses-03_task-hand_echo-1_bold.json,Ready
sub-23,ses-01,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-23/ses-01/sub-23_ses-01_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-23/ses-01/sub-23_ses-01_task-hand_echo-1_bold.json,Ready
sub-12,ses-02,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-12/ses-02/sub-12_ses-02_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-12/ses-02/sub-12_ses-02_task-hand_echo-1_bold.json,Ready
